,SKU,Type,Description,Cost,Quantity (g),Vegan/Non-Vegan,Gluten-Free/Non-Gluten-Free
72,Spinach,Produce - Vegetables,"Spinach is a dark, leafy green vegetable known for its nutritional benefits. It is packed with vitamins, minerals, and antioxidants, making it a popular choice for health-conscious consumers. With a versatile taste and tender texture, spinach is great for salads, smoothies, and cooked dishes. Whether sautéed, steamed, or enjoyed raw, spinach is a versatile and delicious addition to any meal.",$4.49,116,Vegan,Gluten-Free
73,Bell peppers,Produce - Vegetables,"Bell peppers are a colorful and versatile vegetable, with a sweet and slightly tangy flavor. They come in a variety of colors, including red, yellow, orange, and green, and can be used in a wide range of recipes, from salads and stir-fries to stuffed peppers and fajitas. These crunchy and vibrant peppers are packed with vitamins and antioxidants, making them a nutritious addition to any meal.",$2.94,453,Vegan,Non-Gluten-Free
74,Tomatoes,Produce - Vegetables,"Fresh and juicy, our tomatoes are the perfect addition to any salad, sandwich, or pasta dish. Picked at the peak of ripeness, these vibrant red tomatoes are bursting with flavor and are a versatile and essential ingredient for any kitchen. Whether you're looking to add a pop of color to your dishes or create a homemade marinara sauce, our tomatoes are sure to satisfy your culinary needs.",$4.49,153,Non-Vegan,Gluten-Free
75,Cucumbers,Produce - Vegetables,"Cucumbers are crisp, refreshing vegetables with a mild, slightly sweet flavor. They are often enjoyed fresh in salads, sandwiches, or as a healthy snack. Cucumbers are low in calories and high in hydration, making them a popular choice for those looking to maintain a healthy diet. They are also a great addition to pickles, cocktails, and various dishes from around the world.",$3.29,353,Non-Vegan,Gluten-Free
76,Onions,Produce - Vegetables,"Fresh and flavorful, our onions are a kitchen staple for any home cook. With their aromatic and slightly pungent flavor, these onions are perfect for adding depth and richness to any recipe. Whether you're caramelizing them for a savory dish or using them raw in a salad, our onions are sure to elevate your culinary creations.",$3.59,1000,Vegan,Gluten-Free
77,Lettuce,Produce - Vegetables,"Lettuce is a leafy green vegetable that is a popular ingredient in salads and sandwiches. It has a crisp and refreshing flavor, and is packed with essential nutrients like vitamins A and K. Lettuce is a versatile and healthy addition to any meal.",$2.50,215,Vegan,Non-Gluten-Free
78,Cauliflower,Produce - Vegetables,"Fresh cauliflower, a versatile and nutritious vegetable, can be enjoyed roasted, steamed, or raw in salads. Packed with vitamins, minerals, and fiber, cauliflower is a healthy addition to any meal. Its mild, slightly sweet flavor makes it a popular choice for side dishes, soups, and stir-fries. Enjoy this crisp, white vegetable as a tasty and healthy option for your next meal.",$3.70,853,Vegan,Gluten-Free
79,Potatoes,Produce - Vegetables,"Potatoes are a versatile and widely-loved vegetable, known for their delicious flavor and starchy texture. Whether mashed, roasted, or fried, potatoes are a staple in many cuisines around the world. They are a great source of vitamins, minerals, and fiber, making them a healthy and satisfying addition to any meal.",$1.43,338,Non-Vegan,Non-Gluten-Free
80,Cilantro,Produce - Herbs,"Cilantro, also known as coriander or Chinese parsley, is a vibrant green herb with a fresh, citrusy flavor. It is commonly used in Latin American, Caribbean, and Asian cuisines to add a burst of flavor to salsas, salads, curries, and marinades. Cilantro is also a popular garnish for a wide range of dishes, adding a pop of color and a delicious, aromatic finish.",$4.60,794,Vegan,Gluten-Free
81,Basil,Produce - Herbs,"Fresh and aromatic, our Basil is the perfect addition to any dish. Whether you're making pasta, pizza, or a fresh Caprese salad, this versatile herb adds a pop of flavor to your favorite recipes. Hand-picked and packed with nutrients, our Basil is a must-have for any kitchen.",$1.81,922,Non-Vegan,Non-Gluten-Free
82,Parsley,Produce - Herbs,"Parsley is a versatile and flavorful herb that adds a fresh and bright taste to a variety of dishes. It is commonly used in Mediterranean and Middle Eastern cuisines, and is a staple herb for garnishing and seasoning. With its vibrant green color and mild, slightly peppery flavor, parsley is a must-have for any kitchen.",$4.39,892,Non-Vegan,Gluten-Free
83,Rosemary,Produce - Herbs,"Rosemary is a fragrant and flavorful herb that is a staple in Mediterranean cuisine. It adds a savory and slightly piney taste to dishes, and it is often used to season meats, poultry, and roasted vegetables. This versatile herb also pairs well with olive oil and is a popular ingredient in marinades and dressings. With its fresh aroma and delicious taste, Rosemary is a must-have for any home cook looking to elevate their dishes.",$3.53,946,Vegan,Gluten-Free
84,Thyme,Produce - Herbs,"Thyme is a fragrant and versatile herb that adds a delicious earthy flavor to a wide variety of dishes. This small, aromatic herb is commonly used in Mediterranean and European cuisine and can be added to soups, stews, roasted meats, and vegetable dishes. Thyme is also great for infusing into oils, vinegars, and butters, making it a must-have herb for any home cook looking to elevate their dishes with a unique and savory twist.",$2.76,180,Non-Vegan,Gluten-Free
85,Mint,Produce - Herbs,"Our fresh and fragrant Mint herb is a versatile and popular addition to any kitchen. Use it to add a burst of refreshing flavor to drinks, desserts, and savory dishes. Its cooling properties also make it a great addition to homemade teas and infused waters. Enjoy the bright and invigorating taste of our Mint herb in all your culinary creations.",$3.21,893,Non-Vegan,Non-Gluten-Free
86,Dill,Produce - Herbs,"Dill is a delicate herb with feathery leaves and a fresh, grassy flavor. It is commonly used to add a subtle, tangy taste to pickles, salads, and seafood dishes. Dill is also a popular herb for flavoring sauces, dips, and spreads. This versatile herb adds a burst of freshness to any recipe.",$1.14,502,Non-Vegan,Gluten-Free
87,Chives,Produce - Herbs,"Chives are a vibrant green herb with a mild onion-like flavor and a delightful aroma. These slender, grass-like leaves are a versatile addition to a wide range of dishes, including soups, salads, and omelets. Chives also make a beautiful garnish, adding both color and flavor to any dish. They are easy to grow and add a fresh, bright element to any culinary creation.",$3.80,760,Non-Vegan,Non-Gluten-Free
88,Oregano,Produce - Herbs,"Oregano is a popular herb known for its robust and earthy flavor. This versatile herb is commonly used in Mediterranean and Mexican cuisine to add depth and herbaceousness to dishes such as pasta sauces, grilled meats, and soups. Oregano is also known for its potential health benefits, including antioxidant and anti-inflammatory properties. This fresh, aromatic herb is a must-have for any culinary enthusiast's kitchen.",$1.16,171,Vegan,Non-Gluten-Free
89,Sage,Produce - Herbs,"Sage is a versatile herb with a slightly peppery flavor and aromatic fragrance. It is commonly used in Mediterranean and European cuisine to add depth and flavor to savory dishes, such as meat and vegetable dishes, stuffing, and soups. Sage is also known for its medicinal properties, including being a natural remedy for sore throats and digestive issues. This fresh and fragrant herb is a must-have for any home cook looking to add a savory and earthy touch to their dishes.",$1.92,777,Vegan,Gluten-Free
90,Holiday Time Pre-Lit Christmas Tree,Holiday-Christmas,"The Holiday Time Pre-Lit Christmas Tree is a stunning and convenient addition to your holiday decor. With its pre-lit design, this Christmas tree eliminates the hassle of untangling and hanging lights, allowing you to enjoy more time with loved ones. Its realistic branches and full shape create a festive focal point in any room, while the easy-to-assemble design makes setup a breeze. Bring the magic of the season into your home with the Holiday Time Pre-Lit Christmas Tree.",$3.62,195,Vegan,Gluten-Free
91,Pillsbury Christmas Funfetti Cake Mix,Holiday-Christmas,"Get into the holiday spirit with Pillsbury Christmas Funfetti Cake Mix! This festive and delicious cake mix is perfect for bringing joy to any holiday gathering. With colorful sprinkles and a moist, fluffy texture, it's sure to be a hit with friends and family. Just add eggs, oil, and water for a quick and easy treat that's perfect for Christmas celebrations. Spread some holiday cheer with Pillsbury Christmas Funfetti Cake Mix!",$2.62,115,Vegan,Non-Gluten-Free
92,Hallmark Holiday Christmas Wrapping Paper,Holiday-Christmas,"Hallmark Holiday Christmas Wrapping Paper is the perfect way to add a festive touch to your holiday gifts. Featuring beautiful designs and high-quality materials, this wrapping paper will make your presents stand out under the tree. Whether you prefer classic holiday motifs or modern, minimalist designs, Hallmark has the perfect wrapping paper for you. Spread some holiday cheer with Hallmark Holiday Christmas Wrapping Paper.",$2.04,179,Non-Vegan,Non-Gluten-Free
93,Nestle Toll House Holiday Christmas Cookie Dough,Holiday-Christmas,"Indulge in the holiday spirit with Nestle Toll House Holiday Christmas Cookie Dough. This festive and convenient pre-made cookie dough makes it easy to bake up a batch of delicious cookies for the holiday season. With a classic chocolate chip flavor and adorable holiday-themed shapes, these cookies are perfect for adding a touch of joy to your holiday festivities. Share them with family and friends or simply savor them for yourself as a special treat during the most wonderful time of the year.",$4.81,742,Vegan,Non-Gluten-Free
94,HERSHEY'S Holiday Chocolate Candy Assortment,Holiday-Christmas,"Indulge in the festive flavors of the season with HERSHEY'S Holiday Chocolate Candy Assortment. This delightful collection features a variety of classic HERSHEY'S chocolates, including HERSHEY'S Kisses, REESE'S Miniatures, and HERSHEY'S Miniatures, all wrapped in festive holiday designs. Share or savor these delicious treats during the holidays and spread the joy and sweetness of the season. Whether as a gift or for your own holiday celebrations, this assortment is sure to bring joy to chocolate lovers everywhere.",$2.15,108,Vegan,Gluten-Free
95,Glade Winter Wishes Holiday Scented Candle,Holiday-Christmas,"The Glade Winter Wishes Holiday Scented Candle brings the cozy and festive aroma of the holiday season into your home. With notes of cinnamon, clove, and vanilla, this candle fills the room with the warm and inviting scent of Christmas. Whether you're hosting a holiday gathering or simply enjoying a quiet evening at home, the Winter Wishes candle sets the perfect ambiance for the season. Set the mood and spread holiday cheer with this delightful fragrance.",$4.14,128,Vegan,Non-Gluten-Free
96,Betty Crocker Holiday Sugar Cookie Mix,Holiday-Christmas,"Get into the festive spirit with Betty Crocker's Holiday Sugar Cookie Mix! This convenient and easy-to-use mix allows you to create delicious, soft-baked sugar cookies that are perfect for celebrating the holidays. Whether you're baking for a cookie exchange, holiday party, or simply indulging in some seasonal treats, this mix is sure to be a hit with friends and family. Just add a few ingredients, follow the simple instructions, and enjoy the delicious taste of homemade holiday sugar cookies.",$4.04,490,Vegan,Gluten-Free
